log S,v,log Returns,garch h
4.60517019,0.04000000,-0.01006206,0.04365691
4.59510812,0.04309581,0.02351440,0.04093202
4.61862252,0.03953355,-0.00092149,0.05507014
4.61770102,0.04238775,0.00041016,0.04724397
4.61811119,0.04324069,-0.00785674,0.04068916
4.61025445,0.04260094,0.00253141,0.03712791
4.61278586,0.03766115,-0.01247001,0.03247228
4.60031585,0.03721314,0.01346384,0.03337389
4.61377968,0.03559615,0.01109659,0.03563370
4.62487627,0.03184137,0.00170176,0.03546081
4.62657803,0.03311751,-0.00349586,0.03093322
4.62308217,0.02785781,0.01029073,0.02733666
4.63337290,0.02972326,-0.00408276,0.02788784
4.62929015,0.03491715,0.01812794,0.02492302
4.64741809,0.02461318,-0.02449139,0.03375634
4.62292669,0.03228493,-0.00939434,0.04954344
4.61353235,0.03326135,-0.00618954,0.04543437
4.60734282,0.03419396,0.01958083,0.04033595
4.62692365,0.02612804,0.01257114,0.04861116
4.63949479,0.02040117,-0.00356821,0.04758562
4.63592658,0.02059642,0.00377843,0.04131658
4.63970501,0.01994231,0.00373301,0.03628642
4.64343802,0.01575559,-0.01447712,0.03205548
4.62896090,0.02073423,0.00273051,0.03484873
4.63169140,0.01882656,0.00744350,0.03060201
4.63913490,0.01556368,0.00318386,0.02881146
4.64231877,0.01633691,-0.00275460,0.02564292
4.63956417,0.01567594,-0.01209550,0.02275761
4.62746866,0.02115096,0.00242356,0.02491807
4.62989222,0.02094610,-0.01810993,0.02221263
4.61178229,0.02402010,-0.00096064,0.03060600
4.61082165,0.02541406,-0.00557560,0.02673110
4.60524605,0.02503958,0.00473043,0.02441678
4.60997648,0.01886219,0.00097648,0.02241780
4.61095297,0.02319245,0.01181742,0.01991161
4.62277038,0.02366291,0.00829975,0.02286559
4.63107013,0.02283430,0.01045600,0.02281075
4.64152613,0.01714685,-0.00292086,0.02421518
4.63860528,0.01542488,0.00673935,0.02158910
4.64534463,0.01387925,-0.00296471,0.02089143
4.64237992,0.01502563,-0.00765143,0.01880986
4.63472848,0.01573793,-0.00524584,0.01867560
4.62948264,0.01816362,-0.00489980,0.01754610
4.62458283,0.01589223,0.00940629,0.01648561
4.63398912,0.01529600,0.00167568,0.01816492
4.63566480,0.01331153,-0.00100223,0.01642601
4.63466257,0.01492888,-0.00129514,0.01484225
4.63336742,0.01455733,0.00483945,0.01353056
4.63820687,0.01282680,0.00012384,0.01332780
4.63833071,0.01326654,0.00481890,0.01223657
4.64314960,0.00959751,0.00451850,0.01223537
4.64766811,0.01163621,0.00463507,0.01213021
4.65230317,0.01146038,0.00901988,0.01208169
4.66132305,0.01101021,-0.00046267,0.01421648
4.66086039,0.01415505,-0.00151454,0.01297482
4.65934585,0.01560913,0.01065438,0.01198077
4.67000022,0.01462410,-0.00798149,0.01528326
4.66201873,0.01509381,-0.00465380,0.01588913
4.65736493,0.01527434,-0.01997428,0.01502063
4.63739065,0.01972110,-0.00908707,0.02698826
4.62830358,0.02252605,-0.00609155,0.02633135
4.62221203,0.02446436,-0.00462852,0.02427771
4.61758351,0.02476240,0.00558914,0.02204739
4.62317265,0.02541827,-0.01587375,0.02075786
4.60729890,0.03116139,-0.00642396,0.02680902
4.60087494,0.03203469,0.00581348,0.02481439
4.60668842,0.03001941,-0.00388853,0.02317197
4.60279989,0.02826865,0.01362079,0.02091952
4.61642068,0.02525150,0.00481150,0.02534086
4.62123219,0.01921384,0.01531873,0.02322138
4.63655092,0.01874701,0.00652213,0.02901161
4.64307305,0.01810259,-0.00149362,0.02701080
4.64157943,0.01679211,-0.00176431,0.02374902
4.63981512,0.01190475,0.00856932,0.02103797
4.64838444,0.01030466,0.00037506,0.02144192
4.64875950,0.01148822,-0.00052337,0.01905096
4.64823612,0.01325932,0.00289367,0.01702943
4.65112979,0.01391988,-0.01574854,0.01569517
4.63538124,0.01739654,-0.00410313,0.02242962
4.63127812,0.01842087,-0.01590149,0.02035130
4.61537662,0.02213755,0.00090441,0.02649795
4.61628103,0.02515682,0.00347495,0.02332664
4.61975598,0.02477789,0.00610655,0.02111755
4.62586253,0.02105138,-0.00740202,0.02019978
4.61846052,0.02018320,-0.00561005,0.01971707
4.61285046,0.02139848,-0.00546664,0.01854766
4.60738382,0.02261833,0.00298680,0.01751546
4.61037062,0.02329186,0.00668834,0.01612388
4.61705895,0.02161255,0.00741459,0.01628364
4.62447354,0.02206209,0.00183410,0.01678919
4.62630764,0.02125406,-0.02086715,0.01529536
4.60544049,0.02683774,-0.00305143,0.02845951
4.60238906,0.03010616,0.00139566,0.02517211
4.60378472,0.03202861,0.00712987,0.02226555
4.61091460,0.02960837,0.01087351,0.02165532
4.62178811,0.02749459,0.01237550,0.02356431
4.63416361,0.02229726,-0.00297119,0.02640898
4.63119242,0.02390368,0.00715836,0.02343780
